team_name,summer_games,summer_golds,summer_silvers,summer_bronzes,summer_total,winter_games,winter_golds,winter_silvers,winter_bronzes,winter_total,combined_games,combined_golds,combined_silvers,combined_bronzes,combined_total
Afghanistan,15,0,0,2,2,0,0,0,0,0,15,0,0,2,2
Algeria,14,5,4,8,17,3,0,0,0,0,17,5,4,8,17
Argentina,25,21,26,30,77,19,0,0,0,0,44,21,26,30,77
Armenia,7,2,8,8,18,7,0,0,0,0,14,2,8,8,18
Australasia,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australia,27,164,173,210,547,19,5,5,5,15,46,169,178,215,562
Austria,28,19,34,41,94,23,64,81,87,232,51,83,115,128,326
Azerbaijan,7,7,14,28,49,6,0,0,0,0,13,7,14,28,49
Bahamas,17,8,2,6,16,0,0,0,0,0,17,8,2,6,16
Bahrain,10,2,2,0,4,0,0,0,0,0,10,2,2,0,4
Barbados,13,0,0,1,1,0,0,0,0,0,13,0,0,1,1
Belarus,7,13,30,42,85,7,8,5,5,18,14,21,35,47,103
Belgium,27,43,54,58,155,21,1,2,3,6,47,44,56,61,161
Bermuda,19,1,0,1,2,8,0,0,0,0,27,1,0,1,2
Bohemia,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botswana,11,0,1,1,2,0,0,0,0,0,11,0,1,1,2
Brazil,23,37,42,71,150,8,0,0,0,0,31,37,42,71,150
British West Indies,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Bulgaria,21,54,88,82,224,20,1,2,3,6,41,55,90,85,230
Burkina Faso,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
Burundi,7,1,1,0,2,0,0,0,0,0,7,1,1,0,2
Cameroon,15,3,1,2,6,1,0,0,0,0,16,3,1,2,6
Canada,27,71,108,147,326,23,73,64,62,199,50,144,172,209,525
Chile,24,2,7,4,13,17,0,0,0,0,41,2,7,4,13
China,11,262,199,173,634,11,13,28,21,62,22,275,227,194,696
Colombia,20,5,13,16,34,2,0,0,0,0,22,5,13,16,34
Costa Rica,16,1,1,2,4,6,0,0,0,0,22,1,1,2,4
Ivory Coast,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
Croatia,8,14,13,14,41,8,4,6,1,11,16,18,19,15,52
Cuba,21,85,71,85,241,0,0,0,0,0,21,85,71,85,241
Cyprus,11,0,1,0,1,11,0,0,0,0,22,0,1,0,1
Czech Republic,7,19,21,27,67,7,9,11,11,31,14,28,32,38,98
Czechoslovakia,16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
Denmark,28,48,78,79,205,14,0,1,0,1,42,48,79,79,206
Djibouti,9,0,0,1,1,0,0,0,0,0,9,0,0,1,1
Dominican Republic,15,3,5,4,12,0,0,0,0,0,15,3,5,4,12
Ecuador,15,3,2,0,5,1,0,0,0,0,16,3,2,0,5
Egypt,23,8,11,19,38,1,0,0,0,0,24,8,11,19,38
Eritrea,6,0,0,1,1,1,0,0,0,0,7,0,0,1,1
Estonia,13,10,9,17,36,10,4,2,1,7,23,14,11,18,43
Ethiopia,14,23,12,23,58,2,0,0,0,0,16,23,12,23,58
Fiji,15,2,0,1,3,3,0,0,0,0,18,2,0,1,3
Finland,26,101,85,119,305,23,43,63,61,167,49,144,148,180,472
France,29,222,254,274,750,23,36,35,53,124,52,258,289,327,874[2]
Gabon,11,0,1,0,1,0,0,0,0,0,11,0,1,0,1
Georgia,7,10,12,18,40,7,0,0,0,0,14,10,12,18,40
Germany,17,201,205,246,652,12,92,88,60,240,29,293,293,306,892
United Team of Germany,3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
East Germany,5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
West Germany,5,56,67,81,204,6,11,15,13,39,11,67,82,94,243
Ghana,15,0,1,4,5,2,0,0,0,0,16,0,1,4,5
Great Britain,29,285,316,315,916,23,11,4,17,32,52,296,320,332,948
Greece,29,35,45,41,121,19,0,0,0,0,48,35,45,41,121
Grenada,10,1,1,1,3,0,0,0,0,0,10,1,1,1,3
Guatemala,15,0,1,0,1,1,0,0,0,0,16,0,1,0,1
Guyana,18,0,0,1,1,0,0,0,0,0,18,0,0,1,1
Haiti,16,0,1,1,2,0,0,0,0,0,16,0,1,1,2
Hong Kong,17,2,3,4,9,5,0,0,0,0,22,2,3,4,9
Hungary,27,181,154,176,511,23,1,2,4,7,50,182,156,180,518
Iceland,21,0,2,2,4,18,0,0,0,0,39,0,2,2,4
India,25,10,9,16,35,10,0,0,0,0,35,10,9,16,35
Indonesia,16,8,14,15,37,0,0,0,0,0,16,8,14,15,37
Iran,17,24,23,29,76,11,0,0,0,0,28,24,23,29,76
Iraq,15,0,0,1,1,0,0,0,0,0,15,0,0,1,1
Ireland,22,11,10,14,35,7,0,0,0,0,29,11,10,14,35
Israel,17,3,1,9,13,7,0,0,0,0,24,3,1,9,13
Italy,28,217,188,213,618,23,40,36,48,124,51,257,224,261,742[3]
Jamaica,18,26,36,25,87,8,0,0,0,0,26,26,36,25,87
Japan,23,169,150,178,497,21,14,22,22,58,44,183,172,200,555
Jordan,11,1,1,1,3,0,0,0,0,0,11,1,1,1,3
Kazakhstan,7,15,21,36,72,7,1,3,4,8,14,16,24,40,80
Kenya,15,35,42,36,113,4,0,0,0,0,19,35,42,36,113
Kosovo,2,3,0,0,3,1,0,0,0,0,3,3,0,0,3
North Korea,10,16,16,22,54,9,0,1,1,2,19,16,17,23,56
South Korea,18,96,91,100,287,18,31,25,14,70,36,127,116,114,357
Kuwait,13,0,0,3,3,0,0,0,0,0,13,0,0,3,3
Kyrgyzstan,7,0,3,4,7,7,0,0,0,0,13,0,3,4,7
Latvia,12,4,11,6,21,11,1,3,5,9,23,5,14,11,30
Lebanon,18,0,2,2,4,17,0,0,0,0,35,0,2,2,4
Liechtenstein,18,0,0,0,0,19,2,2,6,10,37,2,2,6,10
Lithuania,10,6,7,13,26,9,0,0,0,0,19,6,7,13,26
Luxembourg,24,1,1,0,2,9,0,2,0,2,33,1,3,0,4
Malaysia,14,0,8,5,13,1,0,0,0,0,15,0,8,5,13
Mauritius,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
Mexico,24,13,24,36,73,9,0,0,0,0,33,13,24,36,73
Moldova,7,0,2,4,6,7,0,0,0,0,13,0,2,4,6
Mongolia,14,2,11,17,30,14,0,0,0,0,28,2,11,17,30
Montenegro,4,0,1,0,1,3,0,0,0,0,7,0,1,0,1
Morocco,15,7,5,12,24,7,0,0,0,0,22,7,5,12,24
Mozambique,11,1,0,1,2,0,0,0,0,0,11,1,0,1,2
Namibia,8,0,5,0,5,0,0,0,0,0,8,0,5,0,5
Netherlands,27,95,104,122,321,21,45,44,41,130,48,140,148,163,451
Netherlands Antilles,13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
New Zealand,24,53,33,51,137,16,0,1,2,3,40,53,34,53,140
Niger,13,0,1,1,2,0,0,0,0,0,13,0,1,1,2
Nigeria,17,3,11,13,27,1,0,0,0,0,18,3,11,13,27
North Macedonia (MKD),7,0,1,1,2,6,0,0,0,0,12,0,1,1,2
Norway,26,60,51,49,160,23,132,125,111,368,49,192,176,160,528
Pakistan,18,3,3,4,10,3,0,0,0,0,21,3,3,4,10
Panama,18,1,0,2,3,0,0,0,0,0,18,1,0,2,3
Paraguay,13,0,1,0,1,1,0,0,0,0,14,0,1,0,1
Peru,19,1,3,0,4,2,0,0,0,0,21,1,3,0,4
Philippines,22,1,5,8,14,5,0,0,0,0,27,1,5,8,14
Poland,22,72,89,137,298,23,7,7,8,22,45,79,96,145,320
Portugal,25,5,9,14,28,8,0,0,0,0,33,5,9,14,28
Puerto Rico,19,2,2,6,10,7,0,0,0,0,26,2,2,6,10
Qatar,10,2,1,5,8,0,0,0,0,0,9,2,1,5,8
Romania,22,90,97,121,308,21,0,0,1,1,43,90,97,122,309
Russia,6,149,125,152,426,6,47,39,35,121,12,196,164,187,547
Russian Empire,3,1,4,3,8,0,0,0,0,0,3,1,4,3,8
Soviet Union,9,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204
Unified Team,1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
Olympic Athletes from Russia,0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
ROC,1,20,28,23,71,0,0,0,0,0,1,20,28,23,71
San Marino,16,0,1,2,3,10,0,0,0,0,26,0,1,2,3
Saudi Arabia,12,0,2,2,4,0,0,0,0,0,12,0,2,2,4
Samoa,10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
Senegal,15,0,1,0,1,5,0,0,0,0,20,0,1,0,1
Serbia,5,6,7,11,24,3,0,0,0,0,8,6,7,11,24
Serbia and Montenegro,1,0,2,0,2,1,0,0,0,0,2,0,2,0,2
Singapore,17,1,2,2,5,1,0,0,0,0,18,1,2,2,5
Slovakia,7,10,14,8,32,7,3,4,1,8,14,13,18,9,40
Slovenia,8,8,9,11,28,8,2,5,10,17,16,10,14,21,45
South Africa,20,27,33,29,89,7,0,0,0,0,27,27,33,29,89
Spain,24,48,72,47,167,20,1,0,3,4,44,49,72,50,171
Sri Lanka,18,0,2,0,2,0,0,0,0,0,18,0,2,0,2
Sudan,13,0,1,0,1,0,0,0,0,0,13,0,1,0,1
Suriname,13,1,0,1,2,0,0,0,0,0,13,1,0,1,2
Sweden,28,148,176,179,503,23,57,46,55,158,51,205,222,234,661
Switzerland,29,53,79,73,205,23,56,45,52,153,51,109,124,125,358
Syria,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
Chinese Taipei,15,7,11,18,36,12,0,0,0,0,27,7,11,18,36
Tajikistan,7,1,1,2,4,4,0,0,0,0,11,1,1,2,4
Tanzania,14,0,2,0,2,0,0,0,0,0,14,0,2,0,2
Thailand,17,10,8,17,35,4,0,0,0,0,21,10,8,17,35
Togo,11,0,0,1,1,2,0,0,0,0,13,0,0,1,1
Tonga,10,0,1,0,1,2,0,0,0,0,12,0,1,0,1
Trinidad and Tobago,18,3,5,11,19,3,0,0,0,0,21,3,5,11,19
Tunisia,15,5,3,7,15,0,0,0,0,0,15,5,3,7,15
Turkey,23,41,26,37,104,17,0,0,0,0,40,41,26,37,104
Turkmenistan,7,0,1,0,1,0,0,0,0,0,7,0,1,0,1
Uganda,16,4,4,3,11,0,0,0,0,0,16,4,4,3,11
Ukraine,7,35,36,68,139,7,3,1,4,8,14,38,37,72,147
United Arab Emirates,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2
United States,28,1070,841,745,2656,23,105,113,89,307,51,1175,954,834,2963
Uruguay,22,2,2,6,10,1,0,0,0,0,23,2,2,6,10
Uzbekistan,7,10,6,20,36,7,1,0,0,1,14,11,6,20,37
Venezuela,19,3,7,9,19,4,0,0,0,0,23,3,7,9,19
Vietnam,16,1,3,1,5,0,0,0,0,0,16,1,3,1,5
Virgin Islands,13,0,1,0,1,7,0,0,0,0,20,0,1,0,1
Yugoslavia,18,28,31,31,90,16,0,3,1,4,34,28,34,32,94
Zambia,14,0,1,1,2,0,0,0,0,0,14,0,1,1,2
Zimbabwe,14,3,4,1,8,1,0,0,0,0,15,3,4,1,8
Independent Olympic Athletes,3,1,0,1,2,0,0,0,0,0,3,1,0,1,2
Independent Olympic Participants,1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
Mixed team,3,11,6,8,25,0,0,0,0,0,3,8,4,4,16
Totals,32,5121,5085,5493,15703,23,1062,1060,1051,3173,55,6187,6145,6544,18876
